1.6,-0.0292,0.32,0.99957,0.19991,-3.1708,-0.19991
1.62,-0.049184,0.324,0.99879,0.19976,-3.1908,-0.19976
1.64,-0.069148,0.328,0.99761,0.19952,-3.2108,-0.19952
1.66,-0.089085,0.332,0.99602,0.1992,-3.2308,-0.1992
1.68,-0.10899,0.336,0.99404,0.19881,-3.2508,-0.19881
1.7,-0.12884,0.34,0.99166,0.19833,-3.2708,-0.19833
1.72,-0.14865,0.344,0.98889,0.19778,-3.2908,-0.19778
1.74,-0.1684,0.348,0.98572,0.19714,-3.3108,-0.19714
1.76,-0.18808,0.352,0.98215,0.19643,-3.3308,-0.19643
1.78,-0.20768,0.356,0.9782,0.19564,-3.3508,-0.19564
1.8,-0.2272,0.36,0.97385,0.19477,-3.3708,-0.19477
1.82,-0.24663,0.364,0.96911,0.19382,-3.3908,-0.19382
1.84,-0.26596,0.368,0.96398,0.1928,-3.4108,-0.1928
1.86,-0.28519,0.372,0.95847,0.19169,-3.4308,-0.19169
1.88,-0.3043,0.376,0.95258,0.19052,-3.4508,-0.19052
1.9,-0.32329,0.38,0.9463,0.18926,-3.4708,-0.18926
1.92,-0.34215,0.384,0.93965,0.18793,-3.4908,-0.18793
1.94,-0.36087,0.388,0.93262,0.18652,-3.5108,-0.18652
1.96,-0.37945,0.392,0.92521,0.18504,-3.5308,-0.18504
1.98,-0.39788,0.396,0.91744,0.18349,-3.5508,-0.18349
2,-0.41615,0.4,0.9093,0.18186,-3.5708,-0.18186
2.02,-0.43425,0.404,0.90079,0.18016,-3.5908,-0.18016
2.04,-0.45218,0.408,0.89193,0.17839,-3.6108,-0.17839
2.06,-0.46992,0.412,0.88271,0.17654,-3.6308,-0.17654
2.08,-0.48748,0.416,0.87313,0.17463,-3.6508,-0.17463
2.1,-0.50485,0.42,0.86321,0.17264,-3.6708,-0.17264
2.12,-0.52201,0.424,0.85294,0.17059,-3.6908,-0.17059
2.14,-0.53896,0.428,0.84233,0.16847,-3.7108,-0.16847
2.16,-0.5557,0.432,0.83138,0.16628,-3.7308,-0.16628
2.18,-0.57221,0.436,0.8201,0.16402,-3.7508,-0.16402
2.2,-0.5885,0.44,0.8085,0.1617,-3.7708,-0.1617
2.22,-0.60455,0.444,0.79657,0.15931,-3.7908,-0.15931
2.24,-0.62036,0.448,0.78432,0.15686,-3.8108,-0.15686
2.26,-0.63592,0.452,0.77175,0.15435,-3.8308,-0.15435
2.28,-0.65123,0.456,0.75888,0.15178,-3.8508,-0.15178
2.3,-0.66628,0.46,0.74571,0.14914,-3.8708,-0.14914
2.32,-0.68106,0.464,0.73223,0.14645,-3.8908,-0.14645
2.34,-0.69556,0.468,0.71846,0.14369,-3.9108,-0.14369
2.36,-0.70979,0.472,0.70441,0.14088,-3.9308,-0.14088
2.38,-0.72374,0.476,0.69007,0.13801,-3.9508,-0.13801
2.4,-0.73739,0.48,0.67546,0.13509,-3.9708,-0.13509
2.42,-0.75075,0.484,0.66058,0.13212,-3.9908,-0.13212
2.44,-0.76382,0.488,0.64543,0.12909,-4.0108,-0.12909
2.46,-0.77657,0.492,0.63003,0.12601,-4.0308,-0.12601
2.48,-0.78901,0.496,0.61437,0.12287,-4.0508,-0.12287
2.5,-0.80114,0.5,0.59847,0.11969,-4.0708,-0.11969
2.52,-0.81295,0.504,0.58233,0.11647,-4.0908,-0.11647
2.54,-0.82444,0.508,0.56596,0.11319,-4.1108,-0.11319
2.56,-0.83559,0.512,0.54936,0.10987,-4.1308,-0.10987
2.58,-0.84641,0.516,0.53253,0.10651,-4.1508,-0.10651
2.6,-0.85689,0.52,0.5155,0.1031,-4.1708,-0.1031
2.62,-0.86703,0.524,0.49826,0.099652,-4.1908,-0.099652
2.64,-0.87682,0.528,0.48082,0.096165,-4.2108,-0.096165
2.66,-0.88626,0.532,0.46319,0.092638,-4.2308,-0.092638
2.68,-0.89534,0.536,0.44537,0.089075,-4.2508,-0.089075
2.7,-0.90407,0.54,0.42738,0.085476,-4.2708,-0.085476
2.72,-0.91244,0.544,0.40921,0.081843,-4.2908,-0.081843
2.74,-0.92044,0.548,0.39088,0.078177,-4.3108,-0.078177
2.76,-0.92807,0.552,0.3724,0.07448,-4.3308,-0.07448
