1.42,1.42,-1.4361,2.122,10.552,0.035532,-0.95468,0.25557
1.44,1.44,-1.2416,2.1371,10.577,0.032683,-0.95531,0.25235
1.46,1.46,-1.0465,2.1506,10.599,0.029669,-0.95597,0.24901
1.48,1.48,-0.85097,2.1626,10.617,0.02649,-0.95666,0.24556
1.5,1.5,-0.65509,2.173,10.631,0.023147,-0.95737,0.24201
1.52,1.52,-0.45894,2.1818,10.641,0.019639,-0.95811,0.23836
1.54,1.54,-0.26257,2.189,10.648,0.015969,-0.95886,0.23461
1.56,1.56,-0.066089,2.1946,10.651,0.012136,-0.95964,0.23077
1.58,1.58,0.13044,2.1986,10.65,0.0081424,-0.96043,0.22686
1.6,1.6,0.32693,2.2009,10.646,0.0039896,-0.96124,0.22286
1.62,1.62,0.52331,2.2016,10.638,-0.00032057,-0.96206,0.2188
1.64,1.64,0.71948,2.2006,10.626,-0.004786,-0.9629,0.21468
1.66,1.66,0.91538,2.1981,10.611,-0.0094043,-0.96374,0.21049
1.68,1.68,1.1109,2.1938,10.592,-0.014173,-0.96458,0.20626
1.7,1.7,1.306,2.188,10.569,-0.019089,-0.96543,0.20198
1.72,1.72,1.5006,2.1806,10.543,-0.02415,-0.96628,0.19766
1.74,1.74,1.6946,2.1715,10.513,-0.029351,-0.96713,0.19331
1.76,1.76,1.888,2.1608,10.479,-0.03469,-0.96798,0.18894
1.78,1.78,2.0805,2.1486,10.442,-0.040162,-0.96882,0.18454
1.8,1.8,2.2723,2.1348,10.401,-0.045765,-0.96966,0.18013
1.82,1.82,2.4631,2.1195,10.357,-0.051492,-0.97048,0.1757
1.84,1.84,2.653,2.1027,10.309,-0.05734,-0.9713,0.17128
1.86,1.86,2.8418,2.0844,10.257,-0.063304,-0.9721,0.16685
1.88,1.88,3.0294,2.0646,10.202,-0.06938,-0.97289,0.16244
1.9,1.9,3.2159,2.0434,10.143,-0.075561,-0.97365,0.15804
1.92,1.92,3.401,2.0208,10.081,-0.081843,-0.97441,0.15366
1.94,1.94,3.5848,1.9968,10.015,-0.08822,-0.97514,0.1493
1.96,1.96,3.7671,1.9715,9.946,-0.094687,-0.97585,0.14497
1.98,1.98,3.948,1.9449,9.8733,-0.10124,-0.97653,0.14068
2,2,4.1272,1.9171,9.7972,-0.10787,-0.9772,0.13643
2.02,2.02,4.3049,1.8881,9.7177,-0.11456,-0.97783,0.13222
2.04,2.04,4.4807,1.8579,9.6347,-0.12133,-0.97844,0.12806
2.06,2.06,4.6548,1.8266,9.5484,-0.12815,-0.97903,0.12395
2.08,2.08,4.827,1.7942,9.4588,-0.13502,-0.97958,0.11991
2.1,2.1,4.9973,1.7608,9.3659,-0.14194,-0.98011,0.11592
2.12,2.12,5.1656,1.7264,9.2696,-0.1489,-0.9806,0.11201
2.14,2.14,5.3318,1.6911,9.1701,-0.15589,-0.98107,0.10816
2.16,2.16,5.4959,1.6549,9.0674,-0.1629,-0.9815,0.10439
2.18,2.18,5.6578,1.618,8.9615,-0.16993,-0.9819,0.10069
2.2,2.2,5.8174,1.5803,8.8525,-0.17697,-0.98228,0.097077
2.22,2.22,5.9747,1.5418,8.7403,-0.18401,-0.98262,0.093547
2.24,2.24,6.1296,1.5028,8.625,-0.19104,-0.98292,0.090104
2.26,2.26,6.2821,1.4631,8.5067,-0.19806,-0.9832,0.08675
2.28,2.28,6.4321,1.423,8.3853,-0.20507,-0.98345,0.083489
2.3,2.3,6.5795,1.3824,8.261,-0.21204,-0.98366,0.080323
2.32,2.32,6.7242,1.3414,8.1338,-0.21898,-0.98385,0.077253
2.34,2.34,6.8663,1.3,8.0036,-0.22587,-0.98401,0.074281
2.36,2.36,7.0056,1.2584,7.8706,-0.23272,-0.98413,0.07141
2.38,2.38,7.1422,1.2165,7.7348,-0.23951,-0.98423,0.06864
2.4,2.4,7.2759,1.1746,7.5963,-0.24623,-0.98431,0.065973
2.42,2.42,7.4067,1.1325,7.455,-0.25288,-0.98435,0.06341
2.44,2.44,7.5346,1.0904,7.3111,-0.25945,-0.98437,0.060951
2.46,2.46,7.6594,1.0484,7.1646,-0.26593,-0.98437,0.058596
2.48,2.48,7.7812,1.0064,7.0155,-0.27231,-0.98434,0.056347
2.5,2.5,7.9,0.96465,6.8639,-0.27859,-0.9843,0.054202
2.52,2.52,8.0155,0.92311,6.7098,-0.28477,-0.98423,0.052163
2.54,2.54,8.1279,0.88187,6.5534,-0.29083,-0.98414,0.050228
2.56,2.56,8.2371,0.84098,6.3946,-0.29676,-0.98404,0.048397
2.58,2.58,8.343,0.80051,6.2335,-0.30256,-0.98392,0.046668
2.6,2.6,8.4456,0.76052,6.0702,-0.30823,-0.98378,0.045041
2.62,2.62,8.5448,0.72107,5.9048,-0.31375,-0.98363,0.043515
2.64,2.64,8.6406,0.68222,5.7372,-0.31913,-0.98348,0.042087
2.66,2.66,8.733,0.64402,5.5677,-0.32434,-0.98331,0.040756
2.68,2.68,8.8219,0.60654,5.3961,-0.3294,-0.98313,0.039521
2.7,2.7,8.9073,0.56983,5.2227,-0.33428,-0.98295,0.038378
2.72,2.72,8.9892,0.53394,5.0474,-0.339,-0.98276,0.037325
2.74,2.74,9.0675,0.49893,4.8703,-0.34353,-0.98257,0.03636
2.76,2.76,9.1422,0.46485,4.6916,-0.34788,-0.98237,0.03548
2.78,2.78,9.2133,0.43175,4.5112,-0.35204,-0.98218,0.034682
2.8,2.8,9.2808,0.39968,4.3293,-0.356,-0.98198,0.033962
2.82,2.82,9.3445,0.36869,4.1459,-0.35977,-0.98179,0.033319
2.84,2.84,9.4045,0.33882,3.9611,-0.36333,-0.9816,0.032747
2.86,2.86,9.4608,0.31012,3.775,-0.36668,-0.98142,0.032243
2.88,2.88,9.5134,0.28263,3.5876,-0.36982,-0.98125,0.031803
2.9,2.9,9.5621,0.25639,3.3991,-0.37274,-0.98108,0.031425
2.92,2.92,9.6071,0.23144,3.2095,-0.37545,-0.98092,0.031102
2.94,2.94,9.6482,0.20781,3.0189,-0.37793,-0.98077,0.030832
2.96,2.96,9.6855,0.18554,2.8273,-0.38019,-0.98063,0.030609
2.98,2.98,9.719,0.16465,2.6349,-0.38222,-0.9805,0.03043
3,3,9.7486,0.14519,2.4418,-0.38402,-0.98039,0.03029
3.02,3.02,9.7743,0.12717,2.248,-0.38558,-0.98029,0.030184
3.04,3.04,9.7961,0.11062,2.0535,-0.38691,-0.9802,0.030107
3.06,3.06,9.814,0.095569,1.8586,-0.38801,-0.98013,0.030056
3.08,3.08,9.8281,0.082027,1.6633,-0.38886,-0.98008,0.030024
3.1,3.1,9.8382,0.070015,1.4676,-0.38948,-0.98003,0.030007
3.12,3.12,9.8444,0.05955,1.2717,-0.38986,-0.98001,0.030001
3.14,3.14,9.8466,0.050642,1.0756,-0.39,-0.98,0.03
3.16,3.16,9.845,0.043303,0.87947,-0.3899,-0.98001,0.029999
3.18,3.18,9.8394,0.037539,0.68334,-0.38956,-0.98003,0.029994
3.2,3.2,9.8299,0.033356,0.48731,-0.38898,-0.98007,0.02998
3.22,3.22,9.8165,0.030755,0.29148,-0.38816,-0.98012,0.029951
3.24,3.24,9.7992,0.029737,0.095928,-0.3871,-0.98019,0.029902
3.26,3.26,9.778,0.030298,-0.099253,-0.38581,-0.98028,0.02983
3.28,3.28,9.7528,0.032434,-0.29398,-0.38428,-0.98037,0.029729
3.3,3.3,9.7238,0.036135,-0.48815,-0.38252,-0.98049,0.029595
3.32,3.32,9.6909,0.041392,-0.68169,-0.38053,-0.98061,0.029422
3.34,3.34,9.6541,0.048191,-0.87451,-0.37831,-0.98075,0.029207
3.36,3.36,9.6135,0.056517,-1.0665,-0.37586,-0.98089,0.028944
3.38,3.38,9.569,0.066351,-1.2576,-0.37319,-0.98105,0.02863
3.4,3.4,9.5207,0.077673,-1.4478,-0.3703,-0.98122,0.028261
3.42,3.42,9.4686,0.090459,-1.6368,-0.36719,-0.98139,0.027831
3.44,3.44,9.4128,0.10469,-1.8248,-0.36387,-0.98157,0.027338
3.46,3.46,9.3531,0.12032,-2.0114,-0.36035,-0.98176,0.026777
3.48,3.48,9.2898,0.13734,-2.1968,-0.35661,-0.98195,0.026145
3.5,3.5,9.2227,0.15571,-2.3808,-0.35268,-0.98215,0.025438
3.52,3.52,9.1519,0.17539,-2.5632,-0.34855,-0.98234,0.024653
3.54,3.54,9.0775,0.19635,-2.7441,-0.34423,-0.98253,0.023786
3.56,3.56,8.9995,0.21856,-2.9234,-0.33973,-0.98273,0.022835
3.58,3.58,8.9178,0.24196,-3.101,-0.33505,-0.98292,0.021796
3.6,3.6,8.8326,0.26651,-3.2767,-0.33019,-0.9831,0.020668
3.62,3.62,8.7439,0.29218,-3.4506,-0.32516,-0.98328,0.019447
3.64,3.64,8.6517,0.31891,-3.6225,-0.31997,-0.98345,0.018131
3.66,3.66,8.556,0.34667,-3.7924,-0.31462,-0.98361,0.016719
3.68,3.68,8.457,0.37539,-3.9602,-0.30912,-0.98376,0.015208
3.7,3.7,8.3545,0.40503,-4.1259,-0.30347,-0.9839,0.013598
